P   ,benders            ,mip                 ,benders_obj        ,mip_obj            ,mip_gap ,benders_gap
0.2 ,0.7139999866485596 ,0.3840000629425049  ,186651.35487895997 ,186651.35487896    ,    0.0 ,        0.0
0.4 ,0.7480001449584961 ,0.48199987411499023 ,180422.16641619997 ,180422.16641619997 ,    0.0 ,        0.0
0.6 ,0.562000036239624  ,0.442000150680542   ,178964.40106051997 ,178964.40106051994 ,    0.0 ,        0.0
0.8 ,0.6410000324249268 ,7.371999979019165   ,178556.84031253998 ,178556.84031253998 ,    0.0 ,        0.0
