P,benders,mip,benders_obj,mip_obj
0.2,2.822999954223633,0.9040000438690186,307092.9851721,307092.9851720998
0.4,1.070000171661377,0.48799991607666016,274693.0160056798,274693.01600567985
0.6,0.8810000419616699,0.21500015258789062,268135.6611806999,268135.6611806998
0.8,0.5270001888275146,0.35899996757507324,266547.3324260699,266547.3324260699
