P   ,benders             ,mip               ,benders_obj        ,mip_obj           ,mip_gap               ,benders_gap
0.2 ,  5.513000011444092 ,600.3910000324249 ,45487.800721199885 ,45487.80072119997 ,0.0007214461750249819 ,0.0
0.4 , 16.9229998588562   ,600.5010001659393 ,41255.554349899976 ,41255.5543498041  ,0.0014803744835622575 ,0.0
0.6 ,  5.317999839782715 ,600.3840000629425 ,40471.60064699999  ,40471.600647      ,0.0011607412184407397 ,0.0
0.8 ,600.2050001621246   ,600.3529999256134 ,40260.6672973      ,40260.6672973     ,0.0008794747066776749 ,4.607509414618285e-05
